x, z_0, z_1, z_2
4.860016, 3.978641, 0.999570, -0.000026
4.870017, 3.988636, 0.999570, -0.000028
4.880017, 3.998632, 0.999569, -0.000030
4.890017, 4.008627, 0.999569, -0.000031
4.900017, 4.018623, 0.999569, -0.000033
4.910017, 4.028618, 0.999568, -0.000035
4.920018, 4.038614, 0.999568, -0.000036
4.930018, 4.048609, 0.999568, -0.000038
4.940018, 4.058605, 0.999567, -0.000039
4.950018, 4.068600, 0.999567, -0.000041
4.960019, 4.078596, 0.999566, -0.000042
4.970019, 4.088591, 0.999566, -0.000043
4.980019, 4.098587, 0.999566, -0.000045
4.990019, 4.108582, 0.999565, -0.000046
5.000020, 4.118577, 0.999565, -0.000047
5.010020, 4.128573, 0.999564, -0.000048
5.020020, 4.138568, 0.999564, -0.000049
5.030020, 4.148564, 0.999563, -0.000050
5.040020, 4.158559, 0.999563, -0.000051
5.050021, 4.168555, 0.999562, -0.000052
5.060021, 4.178550, 0.999562, -0.000053
5.070021, 4.188546, 0.999561, -0.000054
5.080021, 4.198541, 0.999561, -0.000054
5.090022, 4.208537, 0.999560, -0.000055
5.100022, 4.218532, 0.999559, -0.000056
5.110022, 4.228528, 0.999559, -0.000057
5.120022, 4.238523, 0.999558, -0.000057
5.130023, 4.248518, 0.999558, -0.000058
5.140023, 4.258514, 0.999557, -0.000059
5.150023, 4.268509, 0.999557, -0.000059
5.160023, 4.278505, 0.999556, -0.000060
5.170023, 4.288500, 0.999555, -0.000060
5.180024, 4.298496, 0.999555, -0.000061
5.190024, 4.308491, 0.999554, -0.000061
5.200024, 4.318487, 0.999554, -0.000062
5.210024, 4.328482, 0.999553, -0.000062
5.220025, 4.338478, 0.999552, -0.000063
5.230025, 4.348473, 0.999552, -0.000063
5.240025, 4.358469, 0.999551, -0.000063
5.250025, 4.368464, 0.999550, -0.000064
5.260026, 4.378459, 0.999550, -0.000064
5.270026, 4.388455, 0.999549, -0.000065
5.280026, 4.398450, 0.999548, -0.000065
5.290026, 4.408446, 0.999548, -0.000065
5.300026, 4.418441, 0.999547, -0.000065
5.310027, 4.428437, 0.999546, -0.000066
5.320027, 4.438432, 0.999546, -0.000066
5.330027, 4.448428, 0.999545, -0.000066
5.340027, 4.458423, 0.999545, -0.000066
5.350028, 4.468419, 0.999544, -0.000067
5.360028, 4.478414, 0.999543, -0.000067
5.370028, 4.488410, 0.999543, -0.000067
5.380028, 4.498405, 0.999542, -0.000067
5.390028, 4.508400, 0.999541, -0.000067
5.400029, 4.518396, 0.999541, -0.000068
5.410029, 4.528391, 0.999540, -0.000068
5.420029, 4.538387, 0.999539, -0.000068
5.430029, 4.548382, 0.999539, -0.000068
5.440030, 4.558378, 0.999538, -0.000068
5.450030, 4.568373, 0.999537, -0.000068
5.460030, 4.578369, 0.999537, -0.000068
5.470030, 4.588364, 0.999536, -0.000068
5.480031, 4.598360, 0.999535, -0.000069
5.490031, 4.608355, 0.999535, -0.000069
5.500031, 4.618351, 0.999534, -0.000069
5.510031, 4.628346, 0.999533, -0.000069
5.520031, 4.638341, 0.999532, -0.000069
5.530032, 4.648337, 0.999532, -0.000069
5.540032, 4.658332, 0.999531, -0.000069
5.550032, 4.668328, 0.999530, -0.000069
5.560032, 4.678323, 0.999530, -0.000069
5.570033, 4.688319, 0.999529, -0.000069
5.580033, 4.698314, 0.999528, -0.000069
5.590033, 4.708310, 0.999527, -0.000069
5.600033, 4.718305, 0.999527, -0.000069
5.610034, 4.728301, 0.999526, -0.000069
5.620034, 4.738296, 0.999525, -0.000069
5.630034, 4.748291, 0.999525, -0.000069
5.640034, 4.758287, 0.999524, -0.000070
5.650034, 4.768282, 0.999523, -0.000070
5.660035, 4.778278, 0.999522, -0.000070
5.670035, 4.788273, 0.999522, -0.000070
5.680035, 4.798268, 0.999521, -0.000070
5.690035, 4.808263, 0.999520, -0.000070
5.700036, 4.818258, 0.999520, -0.000070
5.710036, 4.828253, 0.999519, -0.000070
5.720036, 4.838248, 0.999518, -0.000070
5.730036, 4.848243, 0.999517, -0.000070
5.740036, 4.858238, 0.999517, -0.000070
5.750037, 4.868233, 0.999516, -0.000070
